Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2026-03-17 13:30:00+00:00,254.44000244140625,255.0749969482422,252.17999267578125,253.07850646972656,3494086
2026-03-17 14:30:00+00:00,254.1699981689453,254.9499969482422,253.80079650878906,254.47999572753906,1412006
2026-03-17 15:30:00+00:00,254.86000061035156,255.12989807128906,253.66000366210938,254.14999389648438,1738870
2026-03-17 16:30:00+00:00,253.9199981689453,255.02999877929688,253.55999755859375,254.8699951171875,6074290
2026-03-17 17:30:00+00:00,254.10000610351562,254.6300048828125,253.88499450683594,253.91000366210938,0
2026-03-17 18:30:00+00:00,253.77000427246094,254.3300018310547,253.13009643554688,254.09500122070312,1332707
2026-03-17 19:30:00+00:00,254.22999572753906,254.5800018310547,253.67999267578125,253.77999877929688,1930468
2026-03-18 13:30:00+00:00,252.35499572753906,254.94000244140625,251.3800048828125,252.625,3152133
2026-03-18 14:30:00+00:00,252.3199005126953,253.05999755859375,252.0800018310547,252.33999633789062,2064997
2026-03-18 15:30:00+00:00,251.57009887695312,252.3300018310547,251.4600067138672,252.30999755859375,1753188
2026-03-18 16:30:00+00:00,250.80499267578125,251.58999633789062,250.38999938964844,251.5749969482422,1604382
2026-03-18 17:30:00+00:00,250.9600067138672,251.64759826660156,250.5399932861328,250.7899932861328,1514045
2026-03-18 18:30:00+00:00,249.67999267578125,250.94500732421875,249.61000061035156,250.94000244140625,1957409
2026-03-18 19:30:00+00:00,249.91000366210938,250.35000610351562,249.0,249.69400024414062,2998677
2026-03-19 13:30:00+00:00,249.8000030517578,251.8300018310547,247.3000030517578,249.39999389648438,5282204
2026-03-19 14:30:00+00:00,249.41000366210938,250.7100067138672,249.14010620117188,249.80099487304688,1824930
2026-03-19 15:30:00+00:00,249.25999450683594,249.95260620117188,248.8800048828125,249.41000366210938,1704879
2026-03-19 16:30:00+00:00,248.2801055908203,249.4199981689453,247.7100067138672,249.27499389648438,7064876
2026-03-19 17:30:00+00:00,248.02200317382812,248.5299072265625,247.6699981689453,248.2949981689453,0
2026-03-19 18:30:00+00:00,248.47000122070312,249.58999633789062,247.6699981689453,248.00999450683594,2599457
2026-03-19 19:30:00+00:00,248.90699768066406,249.3300018310547,248.2899932861328,248.44000244140625,2408615
2026-03-20 13:30:00+00:00,247.75999450683594,248.75999450683594,246.61000061035156,248.11000061035156,16388329
2026-03-20 14:30:00+00:00,247.98500061035156,248.85000610351562,247.16009521484375,247.80999755859375,6539448
2026-03-20 15:30:00+00:00,248.6199951171875,249.05999755859375,247.86000061035156,247.9499969482422,2911321
2026-03-20 16:30:00+00:00,248.27000427246094,248.7899932861328,248.0800018310547,248.6300048828125,2570162
2026-03-20 17:30:00+00:00,248.0399932861328,248.75990295410156,247.5301055908203,248.2899932861328,2895312
2026-03-20 18:30:00+00:00,248.08999633789062,249.1999053955078,247.58999633789062,248.08999633789062,3994932
2026-03-20 19:30:00+00:00,248.19000244140625,248.1999969482422,246.0,248.08999633789062,6366085
2026-03-23 13:30:00+00:00,252.4398956298828,254.55999755859375,251.02000427246094,253.99000549316406,9464664
2026-03-23 14:30:00+00:00,252.57989501953125,252.9199981689453,251.52999877929688,252.4199981689453,3394637
2026-03-23 15:30:00+00:00,250.80499267578125,252.90499877929688,250.6750030517578,252.58999633789062,4431092
2026-03-23 16:30:00+00:00,250.9199981689453,251.75,250.27999877929688,250.80999755859375,2569031
2026-03-23 17:30:00+00:00,251.3300018310547,251.98500061035156,250.89999389648438,250.9550018310547,2523158
2026-03-23 18:30:00+00:00,251.76499938964844,252.4149932861328,251.3699951171875,251.3699951171875,2979367
2026-03-23 19:30:00+00:00,251.44000244140625,252.52499389648438,250.97000122070312,251.76499938964844,4373303
